id_relatorio,setor,descricao_bruta,risco_declarado,temperatura_local
REL-1023,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 109),Médio,31.770371194420562
REL-1024,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 333),Crítico,36.42391527163571
REL-1025,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 645),Baixo,28.239886036237074
REL-1026,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 736),Médio,31.721020854947152
REL-1027,Civil,Tudo em conformidade com as normas de segurança. (Ref: 300),Crítico,31.776815212545152
REL-1028,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 32),Baixo,26.239133025472498
REL-1029,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 51),Médio,36.23922743910087
REL-1030,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 595),Baixo,27.85596300548132
REL-1031,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 537),Crítico,36.65733286569483
REL-1032,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 129),Crítico,26.919269351665317
REL-1033,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 509),Médio,39.07653159637883
REL-1034,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 11),Crítico,31.24926951655575
REL-1035,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 117),Alto,33.801279309587905
REL-1036,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 818),Alto,29.061669392013705
REL-1037,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 806),Crítico,38.87547295636037
REL-1038,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 452),Médio,36.83580182065201
REL-1039,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 230),Médio,36.773809827573075
REL-1040,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 401),Alto,30.653063194152075
REL-1041,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 112),Médio,38.314652728601786
REL-1042,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 841),Crítico,30.897998531488216
REL-1043,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 412),Crítico,33.53285548221133
REL-1044,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 974),Médio,26.78430429227253
REL-1045,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 704),Crítico,33.80014175266723
REL-1046,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 134),Baixo,33.03917799476133
REL-1047,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 14),Baixo,39.97419154123462
REL-1048,Hidráulica,Escada de acesso sem corrimão instalado corretamente. (Ref: 527),Alto,32.53476331697568
REL-1049,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 852),Médio,29.472057953014783
REL-1050,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 304),Alto,34.76034653090619
REL-1051,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 100),Crítico,33.00804141964812
REL-1052,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 698),Médio,38.81824923816821
REL-1053,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 268),Crítico,39.38914379363429
REL-1054,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 645),Baixo,34.68789444615089
REL-1055,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 820),Alto,33.1124263009828
REL-1056,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 519),Baixo,31.102360918366696
REL-1057,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 671),Alto,36.75587492883837
REL-1058,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 575),Crítico,30.42823004851839
REL-1059,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 31),Alto,28.261369628697285
REL-1060,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 929),Crítico,26.019417708663607
REL-1061,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 550),Baixo,34.320849843830544
REL-1062,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 768),Crítico,32.46333391672679
REL-1063,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 762),Crítico,31.38722914985801
REL-1064,Hidráulica,Escada de acesso sem corrimão instalado corretamente. (Ref: 420),Alto,30.36879125679762
REL-1065,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 983),Crítico,32.72302557370537
REL-1066,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 851),Crítico,38.32863846997908
REL-1067,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 291),Crítico,31.42306287240764
REL-1068,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 125),Baixo,36.04785489621895
REL-1069,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 215),Baixo,29.18541684721873
REL-1070,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 411),Baixo,25.398448113922626
REL-1071,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 874),Crítico,33.38365022021515
REL-1072,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 954),Alto,38.98488890419575
REL-1073,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 331),Médio,26.89654704682043
REL-1074,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 178),Crítico,27.483546704539574
REL-1075,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 514),Crítico,39.630321079612266
REL-1076,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 291),Alto,32.27966496647646
REL-1077,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 4),Baixo,38.340147573575685
REL-1078,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 163),Crítico,30.32929990503433
REL-1079,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 345),Baixo,38.00820338585151
REL-1080,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 257),Médio,29.130716341435352
REL-1081,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 499),Médio,39.966133087254164
REL-1082,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 650),Médio,28.22733351847109
REL-1083,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 22),Crítico,27.110761935387337
REL-1084,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 596),Crítico,39.1738484617974
REL-1085,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 778),Alto,36.22407124498838
REL-1086,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 948),Médio,33.07447308568558
REL-1087,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 654),Médio,38.929563314966956
REL-1088,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 524),Alto,28.136432248979375
REL-1089,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 793),Alto,28.546060154898182
REL-1090,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 66),Alto,30.610332610832877
REL-1091,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 551),Médio,31.537767361265715
REL-1092,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 385),Baixo,38.604304681753426
REL-1093,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 483),Baixo,29.528217472367892
REL-1094,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 192),Baixo,31.966356444097503
REL-1095,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 251),Médio,38.01649640539995
REL-1096,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 66),Médio,36.41886831605753
REL-1097,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 217),Baixo,28.265404253728242
REL-1098,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 311),Alto,36.681078957273215
REL-1099,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 143),Crítico,28.095757461765995
REL-1100,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 530),Crítico,37.98085096749149
REL-1101,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 485),Baixo,37.639506074736836
REL-1102,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 261),Médio,27.70767164208588
REL-1103,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 840),Médio,30.68019312992572
REL-1104,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 693),Médio,30.522042670029553
REL-1105,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 122),Alto,34.113782530652884
REL-1106,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 889),Crítico,38.84474286613539
REL-1107,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 524),Crítico,33.05468886073664
REL-1108,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 908),Médio,31.133945153630837
REL-1109,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 953),Médio,36.261413383915006
REL-1110,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 588),Alto,29.272707193540267
REL-1111,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 891),Médio,28.74145939663481
REL-1112,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 865),Baixo,30.413404046587246
REL-1113,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 454),Médio,32.87048015292367
REL-1114,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 94),Alto,34.56634771722567
REL-1115,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 526),Médio,34.57046312293935
REL-1116,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 850),Alto,29.49197881863555
REL-1117,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 244),Médio,27.72242417162058
REL-1118,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 167),Alto,26.86176561007416
REL-1119,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 792),Médio,30.896738883854454
REL-1120,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 585),Baixo,26.04813786180528
REL-1121,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 922),Crítico,31.177755625342684
REL-1122,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 156),Alto,33.015816960376775
REL-1123,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 988),Médio,30.71684213174201
REL-1124,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 496),Médio,36.490722530910446
REL-1125,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 415),Médio,28.08765727748834
REL-1126,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 989),Crítico,27.44292139969717
REL-1127,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 586),Baixo,26.425310720675757
REL-1128,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 436),Médio,27.992557790003683
REL-1129,Hidráulica,Escada de acesso sem corrimão instalado corretamente. (Ref: 916),Crítico,30.999649422375807
REL-1130,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 427),Baixo,39.50166935648855
REL-1131,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 399),Crítico,29.63936414945773
REL-1132,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 183),Baixo,35.24212216008103
REL-1133,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 597),Baixo,25.459313778584566
REL-1134,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 65),Alto,32.471762669265836
REL-1135,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 341),Médio,30.346206644154442
REL-1136,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 310),Crítico,28.68889159386628
REL-1137,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 809),Crítico,32.57625165408454
REL-1138,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 928),Crítico,27.25451430096681
REL-1139,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 606),Crítico,29.194277901345135
REL-1140,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 944),Médio,33.18196172924573
REL-1141,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 59),Médio,33.11833645474509
REL-1142,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 553),Baixo,30.71586597451621
REL-1143,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 833),Baixo,38.65984491216757
REL-1144,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 456),Baixo,33.80037318773348
REL-1145,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 542),Médio,25.367677595745302
REL-1146,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 221),Alto,34.8279671514561
REL-1147,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 304),Médio,34.93526791162468
REL-1148,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 116),Médio,39.9949510461514
REL-1149,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 36),Baixo,30.67779419022545
REL-1150,Hidráulica,Escada de acesso sem corrimão instalado corretamente. (Ref: 365),Crítico,33.99418065394715
REL-1151,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 221),Alto,36.14800101534632
REL-1152,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 214),Alto,29.56653123317826
REL-1153,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 209),Crítico,25.734515311567034
REL-1154,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 896),Baixo,32.52461728236298
REL-1155,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 868),Alto,39.886518885951745
REL-1156,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 639),Médio,36.34141766627252
REL-1157,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 208),Baixo,35.94118151338977
REL-1158,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 477),Crítico,33.09725819093695
REL-1159,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 271),Baixo,33.043346428313654
REL-1160,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 636),Crítico,28.466450279003674
REL-1161,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 130),Médio,36.67747768513615
REL-1162,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 415),Baixo,33.6293191906104
REL-1163,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 672),Alto,36.49170357976227
REL-1164,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 809),Médio,37.43631208299994
REL-1165,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 889),Médio,37.81442653865224
REL-1166,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 879),Médio,26.74562562293203
REL-1167,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 139),Crítico,38.39170751803396
REL-1168,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 476),Baixo,25.63431324021539
REL-1169,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 906),Baixo,32.7342858359325
REL-1170,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 606),Alto,36.61685680805778
REL-1171,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 617),Alto,25.857091688300432
REL-1172,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 861),Médio,29.447061834171066
REL-1173,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 445),Baixo,28.252722944535446
REL-1174,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 903),Baixo,29.0553386664921
REL-1175,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 678),Médio,33.50415795501511
REL-1176,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 298),Médio,28.905393578614355
REL-1177,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 372),Baixo,26.927556254087044
REL-1178,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 224),Baixo,34.3378209927647
REL-1179,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 418),Crítico,31.897968272413753
REL-1180,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 432),Médio,29.41508840949385
REL-1181,Segurança,Vazamento de óleo no guindaste durante operação de carga. (Ref: 281),Médio,27.416260409960845
REL-1182,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 866),Baixo,30.77724542035859
REL-1183,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 836),Médio,25.685835646757766
REL-1184,Hidráulica,Tudo em conformidade com as normas de segurança. (Ref: 683),Crítico,25.445201674980982
REL-1185,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 796),Médio,28.46776488454164
REL-1186,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 27),Baixo,34.5507970443515
REL-1187,Civil,Vazamento de óleo no guindaste durante operação de carga. (Ref: 151),Médio,27.62561338569645
REL-1188,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 680),Crítico,34.699126833378095
REL-1189,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 372),Crítico,35.1794410935729
REL-1190,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 476),Médio,27.638219044095873
REL-1191,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 889),Médio,35.65983705405498
REL-1192,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 174),Baixo,29.092705656131468
REL-1193,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 859),Alto,32.56364110107273
REL-1194,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 239),Alto,34.932526030496604
REL-1195,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 168),Crítico,25.466234061210137
REL-1196,Civil,Tudo em conformidade com as normas de segurança. (Ref: 288),Alto,31.57243808323346
REL-1197,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 540),Alto,28.69856406241688
REL-1198,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 568),Baixo,38.46671175417136
REL-1199,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 564),Alto,37.46918516923486
REL-1200,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 127),Médio,35.38364957757557
REL-1201,Segurança,Material acumulado bloqueando a saída de emergência. (Ref: 134),Médio,27.612550947828037
REL-1202,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 72),Crítico,33.82088730479155
REL-1203,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 766),Médio,35.46714533059093
REL-1204,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 191),Crítico,38.318110044629464
REL-1205,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 730),Crítico,28.193975836729003
REL-1206,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 170),Crítico,39.970651631852235
REL-1207,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 473),Alto,38.189387050662354
REL-1208,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 709),Alto,39.12607100602603
REL-1209,Hidráulica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 180),Médio,27.50280630497523
REL-1210,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 719),Alto,34.633434828048365
REL-1211,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 497),Baixo,38.508928705587316
REL-1212,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 17),Médio,34.81182232476479
REL-1213,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 921),Baixo,37.340627180250955
REL-1214,Civil,Escada de acesso sem corrimão instalado corretamente. (Ref: 464),Baixo,26.946913464659474
REL-1215,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 780),Crítico,27.799698934675913
REL-1216,Elétrica,Escada de acesso sem corrimão instalado corretamente. (Ref: 787),Crítico,35.36426586209006
REL-1217,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 55),Alto,39.75992279445427
REL-1218,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 739),Baixo,31.98218918166607
REL-1219,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 307),Crítico,38.85946399264448
REL-1220,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 518),Baixo,34.30805837773607
REL-1221,Civil,Fiação exposta próxima à área úmida no setor norte. (Ref: 336),Alto,32.91161087674011
REL-1222,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 445),Médio,30.86932359747
REL-1223,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 74),Baixo,38.480704275799994
REL-1224,Civil,Tudo em conformidade com as normas de segurança. (Ref: 869),Alto,34.523402808228475
REL-1225,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 773),Médio,39.79193789555061
REL-1226,Segurança,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 773),Alto,25.121846424348604
REL-1227,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 593),Alto,30.304727003180354
REL-1228,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 265),Alto,27.55420713640295
REL-1229,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 917),Baixo,33.708590965992585
REL-1230,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 984),Alto,30.522573967480724
REL-1231,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 573),Alto,33.45706719594722
REL-1232,Elétrica,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 443),Alto,29.68124026011488
REL-1233,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 91),Baixo,29.17335774321652
REL-1234,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 522),Alto,37.335623839641855
REL-1235,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 633),Crítico,38.806568492836476
REL-1236,Segurança,Tudo em conformidade com as normas de segurança. (Ref: 534),Crítico,37.627125978449946
REL-1237,Elétrica,Tudo em conformidade com as normas de segurança. (Ref: 555),Médio,26.354562484953604
REL-1238,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 85),Médio,31.230087117950138
REL-1239,Hidráulica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 141),Médio,39.7444320527715
REL-1240,Elétrica,Material acumulado bloqueando a saída de emergência. (Ref: 60),Baixo,28.31486905458646
REL-1241,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 615),Médio,25.050061700249714
REL-1242,Civil,Tudo em conformidade com as normas de segurança. (Ref: 545),Alto,37.947676364212086
REL-1243,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 493),Baixo,29.84127538671948
REL-1244,Segurança,Escada de acesso sem corrimão instalado corretamente. (Ref: 709),Médio,35.78242723387782
REL-1245,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 968),Alto,32.88366964784359
REL-1246,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 60),Baixo,39.057654022251874
REL-1247,Elétrica,Vazamento de óleo no guindaste durante operação de carga. (Ref: 172),Baixo,29.06149204245572
REL-1248,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 339),Alto,26.702056546342565
REL-1249,Civil,Rachadura identificada no pilar B4 após concretagem. (Ref: 69),Crítico,28.75174819201479
REL-1250,Segurança,Rachadura identificada no pilar B4 após concretagem. (Ref: 357),Crítico,28.584762505061217
REL-1251,Civil,Tudo em conformidade com as normas de segurança. (Ref: 620),Crítico,32.166345278183755
REL-1252,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 765),Crítico,31.77348740290428
REL-1253,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 558),Crítico,33.958509962601475
REL-1254,Elétrica,Rachadura identificada no pilar B4 após concretagem. (Ref: 461),Baixo,28.712069054722456
REL-1255,Hidráulica,Fiação exposta próxima à área úmida no setor norte. (Ref: 963),Baixo,32.0085485639063
REL-1256,Civil,Tudo em conformidade com as normas de segurança. (Ref: 244),Médio,38.795235245158764
REL-1257,Hidráulica,Rachadura identificada no pilar B4 após concretagem. (Ref: 927),Alto,28.998761927336695
REL-1258,Elétrica,Fiação exposta próxima à área úmida no setor norte. (Ref: 338),Crítico,26.997029907760133
REL-1259,Segurança,Fiação exposta próxima à área úmida no setor norte. (Ref: 997),Alto,37.7045987547061
REL-1260,Civil,Material acumulado bloqueando a saída de emergência. (Ref: 122),Médio,30.593371951112506
REL-1261,Civil,Tudo em conformidade com as normas de segurança. (Ref: 33),Crítico,39.92784300303853
REL-1262,Hidráulica,Material acumulado bloqueando a saída de emergência. (Ref: 655),Alto,26.632237731801904
REL-1263,Civil,Ausência de uso de EPI (capacete) por três operários na laje. (Ref: 92),Alto,28.24107275189504
